Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
405,Land Rover Rover,Land Rover,Rover,3,25000,Individual,Petrol,Automatic,9.17,2995,335.25,7,6200000
6643,Ford Ecosport,Ford,Ecosport,6,64000,Dealer,Petrol,Manual,15.8,1499,110.0,5,470000
17758,Maruti Swift Dzire,Maruti,Swift Dzire,5,35000,Individual,Diesel,Manual,26.59,1248,74.0,5,570000
17727,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,6,50000,Dealer,Diesel,Automatic,14.21,2143,203.0,5,2400000
8371,Ford Figo,Ford,Figo,9,80000,Individual,Diesel,Manual,20.0,1399,68.0,5,325000
2338,Maruti Alto,Maruti,Alto,7,45000,Individual,Petrol,Manual,23.95,998,67.05,5,250000
4010,Tata Tigor,Tata,Tigor,3,90000,Individual,Petrol,Manual,20.3,1199,84.0,5,400000
18027,Hyundai Santro,Hyundai,Santro,2,8000,Individual,Petrol,Manual,20.3,1086,68.0,5,500000
7869,Maruti Swift,Maruti,Swift,4,45000,Dealer,Petrol,Manual,16.1,1197,85.0,5,568000
4356,Hyundai Verna,Hyundai,Verna,8,48000,Dealer,Petrol,Automatic,17.01,1591,121.4,5,490000
190,Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000
11879,Ford Ecosport,Ford,Ecosport,6,58000,Dealer,Diesel,Manual,22.7,1498,89.84,5,525000
7243,Maruti Wagon R,Maruti,Wagon R,14,89000,Dealer,Petrol,Manual,18.9,998,67.1,5,195000
14939,Honda City,Honda,City,6,47000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,775000
4485,Maruti Wagon R,Maruti,Wagon R,9,51000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
9065,Mahindra XUV500,Mahindra,XUV500,2,5000,Individual,Diesel,Manual,15.1,2179,152.87,7,1550000
18201,Mahindra Bolero,Mahindra,Bolero,8,120000,Individual,Diesel,Manual,15.96,2523,62.1,7,510000
6125,Maruti Swift Dzire,Maruti,Swift Dzire,2,11000,Dealer,Petrol,Automatic,22.0,1197,81.8,5,700000
18257,Maruti Wagon R,Maruti,Wagon R,9,58700,Dealer,Petrol,Manual,21.79,998,67.05,5,355000
11961,Maruti Ciaz,Maruti,Ciaz,3,20000,Dealer,Diesel,Manual,28.09,1248,88.5,5,875000
6557,Hyundai Creta,Hyundai,Creta,5,45000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1170000
13629,Toyota Innova,Toyota,Innova,14,79000,Dealer,Diesel,Manual,12.99,2494,100.6,7,265000
14014,Maruti Swift Dzire,Maruti,Swift Dzire,6,79000,Dealer,Diesel,Manual,19.3,1248,73.9,5,425000
15392,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,3,15000,Dealer,Diesel,Automatic,19.27,2143,167.62,5,3200000
10918,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,28.4,1248,74.02,5,600000
10446,Maruti Wagon R,Maruti,Wagon R,11,80875,Dealer,Petrol,Manual,18.9,998,67.1,5,250000
8226,Mahindra Bolero,Mahindra,Bolero,9,60000,Individual,Diesel,Manual,15.96,2523,63.0,9,500000
2348,Maruti Swift Dzire,Maruti,Swift Dzire,7,64000,Dealer,Diesel,Manual,23.4,1248,74.0,5,545000
11844,Hyundai Creta,Hyundai,Creta,4,34500,Individual,Diesel,Automatic,17.6,1582,126.2,5,1155000
109,Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
13708,Skoda Rapid,Skoda,Rapid,4,60000,Dealer,Diesel,Automatic,21.72,1498,108.6,5,690000
1568,Hyundai i20,Hyundai,i20,7,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,400000
6572,Maruti Swift Dzire,Maruti,Swift Dzire,3,12400,Dealer,Petrol,Manual,21.21,1197,81.8,5,690000
6822,Maruti Swift Dzire,Maruti,Swift Dzire,13,86379,Dealer,Diesel,Manual,19.3,1248,73.9,5,290000
15104,Maruti Wagon R,Maruti,Wagon R,13,67000,Dealer,Petrol,Manual,14.0,1061,64.0,5,145000
11413,Tata Safari,Tata,Safari,10,40000,Individual,Diesel,Manual,13.93,2179,138.0,7,450000
17051,Toyota Innova,Toyota,Innova,5,120000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1685000
7309,Maruti Swift Dzire,Maruti,Swift Dzire,13,84500,Individual,Petrol,Manual,17.5,1197,85.8,5,200000
7829,Maruti Celerio,Maruti,Celerio,6,48000,Dealer,Diesel,Manual,27.62,793,47.0,5,475000
7728,Ford Aspire,Ford,Aspire,6,48015,Dealer,Diesel,Manual,25.83,1498,99.0,5,495000
8908,Maruti Wagon R,Maruti,Wagon R,16,29957,Dealer,Petrol,Manual,18.9,998,67.1,5,150000
5725,Hyundai i20,Hyundai,i20,3,104000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
11646,BMW X3,BMW,X3,8,73000,Dealer,Diesel,Automatic,16.09,1995,184.0,5,2175000
759,Toyota Innova,Toyota,Innova,8,52000,Dealer,Diesel,Manual,12.99,2494,100.0,7,625000
9669,Honda Amaze,Honda,Amaze,6,80000,Individual,Petrol,Manual,18.0,1198,86.7,5,350000
5067,Maruti Alto,Maruti,Alto,11,51479,Dealer,Petrol,Manual,19.7,796,46.3,5,195000
18654,Maruti Wagon R,Maruti,Wagon R,10,90000,Individual,CNG,Manual,26.2,998,58.2,5,280000
10360,Mahindra XUV500,Mahindra,XUV500,6,80000,Dealer,Diesel,Manual,15.1,2179,140.0,7,1000000
6045,Toyota Innova,Toyota,Innova,13,185000,Dealer,Diesel,Manual,12.8,2494,102.0,7,710000
19481,Jeep Compass,Jeep,Compass,3,70000,Individual,Diesel,Manual,16.3,1956,170.0,5,1750000
11414,Renault Duster,Renault,Duster,7,50000,Dealer,Diesel,Manual,20.45,1461,83.8,5,495000
18955,Mercedes-Benz S-Class,Mercedes-Benz,S-Class,9,63000,Dealer,Petrol,Automatic,13.0,2987,210.0,5,1999000
18327,Volkswagen Vento,Volkswagen,Vento,11,55000,Dealer,Petrol,Manual,15.04,1598,103.6,5,375000
16641,Toyota Innova,Toyota,Innova,4,110000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1600000
83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
7747,Honda WR-V,Honda,WR-V,4,40000,Individual,Diesel,Manual,25.5,1498,98.6,5,775000
14081,Audi A4,Audi,A4,10,100000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1150000
4554,Hyundai i20,Hyundai,i20,8,37900,Dealer,Diesel,Manual,21.9,1396,88.8,5,435000
9668,Maruti Alto,Maruti,Alto,6,60000,Individual,Petrol,Manual,23.95,998,67.05,5,240000
13965,Maruti Swift,Maruti,Swift,6,52000,Dealer,Petrol,Manual,20.4,1197,81.8,5,435000
8327,Maruti Swift,Maruti,Swift,9,120000,Individual,Diesel,Manual,22.9,1248,74.0,5,360000
9281,Hyundai Grand,Hyundai,Grand,1,3800,Individual,Petrol,Manual,20.7,1197,81.86,5,600000
7604,Hyundai Verna,Hyundai,Verna,5,32615,Dealer,Diesel,Manual,23.9,1582,126.2,5,850000
15466,Maruti Ciaz,Maruti,Ciaz,5,47000,Dealer,Diesel,Manual,28.09,1248,88.5,5,725000
4760,Ford Ecosport,Ford,Ecosport,2,10000,Individual,Petrol,Automatic,14.8,1497,121.36,5,950000
16144,Honda City,Honda,City,6,75000,Individual,Diesel,Manual,26.0,1498,98.6,5,550000
13313,Honda CR-V,Honda,CR-V,4,35000,Dealer,Petrol,Automatic,12.0,2354,187.4,5,1775000
6552,Maruti Ignis,Maruti,Ignis,3,19000,Dealer,Petrol,Automatic,20.89,1197,81.8,5,625000
9910,Maruti Dzire VXI,Maruti,Dzire VXI,1,7151,Dealer,Petrol,Automatic,24.12,1197,88.5,5,790000
19393,Ford Ecosport,Ford,Ecosport,6,131100,Individual,Diesel,Manual,22.77,1498,98.59,5,600000
14728,Maruti Ertiga,Maruti,Ertiga,4,34000,Dealer,Diesel,Manual,24.52,1248,88.5,7,885000
9534,Tata Tiago,Tata,Tiago,5,60000,Individual,Diesel,Manual,27.28,1047,69.0,5,400000
14885,Toyota Innova,Toyota,Innova,11,106868,Dealer,Diesel,Manual,12.8,2494,102.0,8,575000
6315,Mahindra Scorpio,Mahindra,Scorpio,11,95000,Individual,Diesel,Automatic,11.79,2179,120.0,8,500000
685,Mahindra Bolero,Mahindra,Bolero,9,63497,Individual,Diesel,Manual,15.96,2523,62.1,7,396000
1231,Maruti Baleno,Maruti,Baleno,2,18458,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,610000
610,Mahindra XUV500,Mahindra,XUV500,8,50000,Dealer,Diesel,Manual,15.1,2179,140.0,7,621000
17313,Toyota Innova,Toyota,Innova,4,57000,Dealer,Diesel,Manual,13.68,2393,147.8,7,1390000
9673,Maruti Wagon R,Maruti,Wagon R,3,15000,Individual,Petrol,Manual,20.51,998,67.04,5,418000
1948,Ford Ecosport,Ford,Ecosport,6,36000,Dealer,Diesel,Manual,22.77,1498,98.59,5,565000
2928,Hyundai Elantra,Hyundai,Elantra,5,29000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,1351000
8603,Maruti Wagon R,Maruti,Wagon R,9,50000,Individual,Petrol,Manual,18.9,998,67.1,5,280000
13832,Audi A4,Audi,A4,9,38000,Individual,Diesel,Automatic,15.2,1968,140.8,5,1175000
13213,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,58000,Dealer,Diesel,Automatic,19.71,2143,201.15,5,2800000
18130,Maruti Ertiga,Maruti,Ertiga,7,46000,Dealer,Petrol,Manual,19.01,1462,103.26,7,595000
8848,Maruti Swift Dzire,Maruti,Swift Dzire,11,46100,Individual,Petrol,Automatic,21.21,1197,81.8,5,280000
1900,Audi A4,Audi,A4,9,39000,Dealer,Diesel,Automatic,17.11,1968,174.33,5,1195000
11963,Maruti Swift Dzire,Maruti,Swift Dzire,8,35000,Individual,Diesel,Manual,19.3,1248,73.9,5,400000
6598,Hyundai i20,Hyundai,i20,3,86516,Dealer,Petrol,Manual,18.6,1197,81.86,5,750000
3683,Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,16.5,1493,70.0,7,750000
11237,Volkswagen Polo,Volkswagen,Polo,4,10000,Individual,Petrol,Manual,16.2,1199,74.0,5,500000
17087,Hyundai i10,Hyundai,i10,10,30215,Dealer,Petrol,Manual,20.36,1197,78.9,5,264000
5034,Kia Seltos,Kia,Seltos,2,6000,Individual,Petrol,Manual,16.1,1353,138.0,5,1635000
9583,Ford Ecosport,Ford,Ecosport,3,24000,Dealer,Petrol,Automatic,14.8,1497,121.36,5,970000
12318,Maruti Vitara,Maruti,Vitara,4,68100,Dealer,Diesel,Manual,24.3,1248,88.5,5,675000
5238,Maruti Swift Dzire,Maruti,Swift Dzire,6,10000,Individual,Petrol,Manual,20.85,1197,83.14,5,585000
9390,Mahindra Bolero,Mahindra,Bolero,9,100000,Individual,Diesel,Manual,15.96,2523,62.1,7,360000
14226,Maruti Baleno,Maruti,Baleno,6,50000,Individual,Diesel,Manual,27.39,1248,74.0,5,500000
16339,Mahindra XUV500,Mahindra,XUV500,6,120000,Individual,Diesel,Manual,16.0,2179,140.0,7,945000
6563,Maruti Swift,Maruti,Swift,4,56145,Dealer,Diesel,Manual,28.4,1248,74.0,5,659000
7612,Renault Duster,Renault,Duster,8,153000,Dealer,Diesel,Manual,19.01,1461,108.45,5,550000
12610,Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1375000
6374,Maruti Swift,Maruti,Swift,7,16000,Individual,Diesel,Manual,25.2,1248,74.0,5,500000
17772,Mahindra Bolero,Mahindra,Bolero,4,68000,Dealer,Diesel,Manual,16.5,1493,70.0,7,515000
633,Hyundai Grand,Hyundai,Grand,7,80000,Individual,Diesel,Manual,24.0,1120,70.0,5,300000
13232,Hyundai Venue,Hyundai,Venue,2,21280,Dealer,Diesel,Manual,23.7,1396,88.76,5,900000
17462,Hyundai Grand,Hyundai,Grand,3,5000,Individual,Petrol,Manual,18.9,1197,81.86,5,640000
13898,Hyundai i20,Hyundai,i20,5,40000,Dealer,Petrol,Manual,18.6,1197,81.83,5,500000
6299,Hyundai Verna,Hyundai,Verna,4,28000,Dealer,Petrol,Automatic,17.0,1591,121.3,5,1090000
16252,Toyota Innova,Toyota,Innova,12,180000,Individual,Diesel,Manual,12.8,2494,102.0,7,430000
11687,Hyundai i20,Hyundai,i20,5,48000,Dealer,Diesel,Manual,22.54,1396,88.73,5,750000
158,Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
8600,Hyundai Grand,Hyundai,Grand,4,12784,Dealer,Petrol,Automatic,18.9,1197,81.86,5,610000
18910,Volkswagen Polo,Volkswagen,Polo,5,24000,Dealer,Petrol,Automatic,17.2,1197,103.6,5,700000
7882,Maruti Alto,Maruti,Alto,14,30000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
8968,Maruti Alto,Maruti,Alto,9,21000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
4752,Hyundai i20,Hyundai,i20,8,75518,Dealer,Petrol,Manual,18.5,1197,82.9,5,390000
1624,Mahindra XUV500,Mahindra,XUV500,5,120000,Individual,Diesel,Automatic,16.0,2179,140.0,7,1400000
10332,Maruti Alto,Maruti,Alto,7,40000,Individual,Petrol,Manual,22.74,796,47.3,5,250000
15267,Hyundai i20,Hyundai,i20,10,30680,Dealer,Diesel,Manual,23.0,1396,90.0,5,318000
13168,Hyundai Grand,Hyundai,Grand,6,112000,Individual,Diesel,Manual,24.0,1120,70.0,5,350000
10654,Hyundai i10,Hyundai,i10,9,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,290000
14775,Volkswagen Polo,Volkswagen,Polo,6,38000,Dealer,Petrol,Manual,16.47,1198,74.0,5,475000
7586,Hyundai i20,Hyundai,i20,11,97845,Dealer,Diesel,Manual,21.27,1396,88.76,5,320000
19190,Maruti Vitara,Maruti,Vitara,4,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
13041,Honda City,Honda,City,6,90000,Individual,Diesel,Manual,25.1,1498,98.6,5,580000
13449,Maruti Swift,Maruti,Swift,2,14316,Trustmark Dealer,Petrol,Manual,21.21,1197,81.8,5,535000
354,Maruti Swift Dzire,Maruti,Swift Dzire,7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
6697,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,25000,Individual,Diesel,Automatic,10.0,2148,170.0,5,2100000
17121,Maruti Ertiga,Maruti,Ertiga,5,132000,Individual,Diesel,Manual,24.52,1248,88.5,7,800000
15829,Hyundai Verna,Hyundai,Verna,5,50000,Individual,Diesel,Manual,23.9,1582,126.2,5,750000
1636,Hyundai Verna,Hyundai,Verna,12,110000,Individual,Diesel,Manual,18.1,1493,110.0,5,350000
16210,Maruti Vitara,Maruti,Vitara,4,44000,Dealer,Diesel,Manual,24.3,1248,88.5,5,950000
18987,Maruti Ertiga,Maruti,Ertiga,7,70000,Individual,Diesel,Manual,20.77,1248,88.76,7,500000
8159,Maruti Alto,Maruti,Alto,5,25000,Individual,Petrol,Manual,22.74,796,47.3,5,220000
10643,Mahindra Scorpio,Mahindra,Scorpio,7,100000,Dealer,Diesel,Manual,12.05,2179,120.0,8,590000
2438,Hyundai i20,Hyundai,i20,2,5000,Individual,Petrol,Manual,18.6,1197,81.86,5,710000
15505,Ford Endeavour,Ford,Endeavour,2,40000,Individual,Diesel,Automatic,10.91,3198,197.0,7,3200000
18403,Skoda Octavia,Skoda,Octavia,3,63500,Dealer,Diesel,Automatic,19.5,1968,141.0,5,1950000
7736,Maruti Vitara,Maruti,Vitara,5,80000,Individual,Diesel,Manual,24.3,1248,88.5,5,624000
18230,Maruti Ciaz,Maruti,Ciaz,5,103000,Individual,Diesel,Manual,28.09,1248,88.5,5,745000
15544,Hyundai Verna,Hyundai,Verna,2,20000,Individual,Petrol,Manual,17.0,1591,121.3,5,995000
18753,Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,215000
19194,Maruti Swift,Maruti,Swift,6,75000,Dealer,Diesel,Manual,25.2,1248,74.0,5,400000
18413,Renault Duster,Renault,Duster,5,80000,Individual,Diesel,Manual,19.87,1461,83.8,5,950000
1875,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,40000,Dealer,Diesel,Automatic,10.0,2148,170.0,5,1450000
15518,Hyundai i10,Hyundai,i10,9,70000,Dealer,LPG,Manual,19.0,1086,68.1,5,285000
16903,Mahindra Bolero,Mahindra,Bolero,8,39000,Individual,Diesel,Manual,15.96,2523,62.1,7,530000
16882,Hyundai i20,Hyundai,i20,9,69000,Dealer,Diesel,Manual,21.9,1396,88.76,5,460000
18979,BMW 7,BMW,7,8,63000,Dealer,Diesel,Automatic,14.49,2993,258.0,5,2250000
8730,Hyundai i10,Hyundai,i10,11,49700,Dealer,Petrol,Automatic,19.2,1197,80.0,5,342000
10382,Hyundai i20,Hyundai,i20,4,26000,Dealer,Petrol,Manual,18.6,1197,81.83,5,540000
4571,Audi A4,Audi,A4,9,68370,Dealer,Diesel,Automatic,17.11,1968,174.33,5,1345000
3591,Maruti Wagon R,Maruti,Wagon R,5,50000,Individual,Petrol,Automatic,20.51,998,67.0,5,425000
918,Tata Tigor,Tata,Tigor,4,25000,Individual,Diesel,Manual,24.7,1047,69.0,5,600000
13776,Hyundai i20,Hyundai,i20,3,10080,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,720000
6951,Mahindra Thar,Mahindra,Thar,7,84000,Individual,Diesel,Manual,16.55,2498,105.0,6,600000
3775,Mahindra XUV500,Mahindra,XUV500,9,68420,Dealer,Diesel,Manual,15.1,2179,140.0,7,615000
16631,BMW 5,BMW,5,3,10002,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4000000
1437,Mahindra Scorpio,Mahindra,Scorpio,10,137000,Individual,Diesel,Automatic,11.79,2179,120.0,8,480000
12336,Toyota Fortuner,Toyota,Fortuner,11,67000,Dealer,Diesel,Manual,11.5,2982,171.0,7,825000
18002,Maruti Swift Dzire,Maruti,Swift Dzire,9,68600,Individual,Diesel,Manual,28.4,1248,74.02,5,360000
6393,Renault Duster,Renault,Duster,8,80000,Individual,Diesel,Manual,19.01,1461,108.45,5,550000
9337,Maruti Wagon R,Maruti,Wagon R,3,30000,Individual,Petrol,Manual,20.51,998,67.04,5,425000
2178,Audi A6,Audi,A6,7,52121,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1700000
13952,Skoda Superb,Skoda,Superb,7,36000,Dealer,Petrol,Automatic,13.7,1798,157.75,5,1099000
10737,Hyundai i20,Hyundai,i20,3,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5,599000
2963,Maruti Eeco,Maruti,Eeco,4,73630,Dealer,CNG,Manual,15.1,1196,73.0,5,395000
16217,Maruti Alto,Maruti,Alto,5,25000,Individual,Petrol,Manual,22.74,796,47.3,5,290000
16561,Hyundai Elantra,Hyundai,Elantra,6,50000,Dealer,Petrol,Automatic,14.62,1999,149.92,5,850000
17492,Maruti Baleno,Maruti,Baleno,1,7000,Individual,Petrol,Manual,21.01,1197,81.8,5,750000
13281,Toyota Fortuner,Toyota,Fortuner,3,29456,Dealer,Diesel,Automatic,12.9,2755,174.5,7,3000000
15112,Honda Amaze,Honda,Amaze,8,28000,Individual,Petrol,Manual,18.0,1198,86.7,5,350000
3135,Audi Q7,Audi,Q7,5,40182,Dealer,Diesel,Automatic,14.75,2967,245.0,7,4800000
12979,Volkswagen Polo,Volkswagen,Polo,8,70000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
13910,Honda Amaze,Honda,Amaze,6,15000,Individual,Diesel,Manual,25.8,1498,98.6,5,525000
7607,Volkswagen Vento,Volkswagen,Vento,8,114000,Dealer,Diesel,Manual,20.54,1598,103.6,5,425000
13739,Honda City,Honda,City,11,65000,Dealer,Petrol,Manual,17.0,1497,118.0,5,350000
2789,Honda WR-V,Honda,WR-V,4,27724,Dealer,Petrol,Manual,17.5,1199,88.7,5,750000
16739,Honda Jazz,Honda,Jazz,6,40000,Dealer,Diesel,Manual,27.3,1498,98.6,5,665000
9040,Hyundai i10,Hyundai,i10,6,15000,Individual,LPG,Manual,19.2,1086,68.05,5,420000
3362,Hyundai i20,Hyundai,i20,7,47900,Dealer,Petrol,Automatic,15.0,1396,98.6,5,510000
13872,Hyundai Verna,Hyundai,Verna,8,64001,Dealer,Petrol,Automatic,17.01,1591,121.4,5,449000
11929,Hyundai Creta,Hyundai,Creta,3,10000,Dealer,Diesel,Manual,22.1,1396,88.7,5,1050000
17616,Honda City,Honda,City,5,68000,Individual,Diesel,Manual,26.0,1498,98.6,5,630000
2395,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,71000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1185000
18072,Toyota Innova,Toyota,Innova,4,36000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1995000
6636,Hyundai i20,Hyundai,i20,12,80000,Individual,Petrol,Automatic,15.0,1396,100.0,5,280000
17474,Maruti Celerio,Maruti,Celerio,5,30000,Individual,Petrol,Automatic,23.1,998,67.04,5,450000
4900,Maruti Swift,Maruti,Swift,7,117962,Individual,Diesel,Manual,25.2,1248,74.0,5,480000
9942,Tata Nexon,Tata,Nexon,4,25000,Individual,Petrol,Manual,17.0,1198,108.5,5,900000
1475,Mahindra Scorpio,Mahindra,Scorpio,3,48976,Dealer,Diesel,Manual,15.4,2523,75.0,7,1011000
4886,Maruti Ciaz,Maruti,Ciaz,5,71000,Dealer,Petrol,Manual,20.73,1373,91.1,5,600000
15322,Datsun RediGO,Datsun,RediGO,5,30000,Individual,Petrol,Manual,22.7,799,53.64,5,170000
18813,Honda Amaze,Honda,Amaze,2,18005,Dealer,Petrol,Automatic,18.1,1199,88.7,5,785000
10213,Datsun GO,Datsun,GO,2,1041,Dealer,Petrol,Manual,19.02,1198,67.05,5,530000
17426,Ford Ecosport,Ford,Ecosport,6,66000,Dealer,Diesel,Manual,22.77,1498,98.59,5,775000
939,Honda Jazz,Honda,Jazz,5,66000,Dealer,Petrol,Manual,16.0,1198,90.0,5,530000
6072,Toyota Fortuner,Toyota,Fortuner,3,60000,Individual,Diesel,Manual,14.24,2755,174.5,7,2700000
9520,Maruti Wagon R,Maruti,Wagon R,14,70000,Individual,Petrol,Manual,18.9,1061,67.0,5,80000
9922,Maruti Alto,Maruti,Alto,8,23460,Dealer,Petrol,Manual,23.95,998,67.05,5,240000
4185,Maruti Swift,Maruti,Swift,15,82000,Dealer,Petrol,Manual,16.1,1298,88.2,5,205000
3134,Honda WR-V,Honda,WR-V,4,110000,Individual,Diesel,Manual,25.5,1498,98.6,5,775000
17328,Maruti Swift Dzire,Maruti,Swift Dzire,2,10450,Dealer,Diesel,Automatic,28.4,1248,74.02,5,850000
7955,Maruti Alto,Maruti,Alto,1,1500,Individual,Petrol,Manual,22.05,796,47.3,5,350000
11383,Renault KWID,Renault,KWID,2,7000,Individual,Petrol,Automatic,24.04,999,67.0,5,490000
12955,Renault KWID,Renault,KWID,3,11051,Dealer,Petrol,Manual,23.01,999,67.0,5,365000
17530,Hyundai Grand,Hyundai,Grand,7,39000,Dealer,Petrol,Manual,18.9,1197,81.86,5,360000
8273,Volkswagen Vento,Volkswagen,Vento,9,79349,Dealer,Diesel,Manual,20.54,1598,103.6,5,530000
2353,Audi A6,Audi,A6,4,27000,Dealer,Diesel,Automatic,18.53,1968,187.74,5,2600000
14630,Maruti Baleno,Maruti,Baleno,3,16315,Dealer,Petrol,Manual,21.4,1197,83.1,5,590000
5737,Volkswagen Vento,Volkswagen,Vento,8,71000,Dealer,Diesel,Manual,20.54,1598,103.6,5,525000
9325,Maruti Swift,Maruti,Swift,7,60000,Dealer,Diesel,Manual,28.4,1248,74.0,5,475000
14534,Hyundai Creta,Hyundai,Creta,5,54000,Dealer,Diesel,Manual,19.67,1582,126.2,5,875000
10603,Hyundai i20,Hyundai,i20,4,29599,Dealer,Diesel,Manual,21.19,1396,88.73,5,600000
12084,Hyundai Creta,Hyundai,Creta,6,45000,Dealer,Petrol,Manual,15.29,1591,121.3,5,875000
6171,Hyundai Grand,Hyundai,Grand,4,31734,Dealer,Petrol,Manual,18.9,1197,81.86,5,578000
8822,Maruti Baleno,Maruti,Baleno,1,25000,Individual,Petrol,Manual,21.01,1197,81.8,5,700000
5453,Tata Tiago,Tata,Tiago,2,6500,Individual,Petrol,Manual,23.84,1199,84.0,5,500000
19491,Mahindra Scorpio,Mahindra,Scorpio,7,110000,Individual,Diesel,Manual,12.05,2179,120.0,9,550000
19103,Renault Duster,Renault,Duster,5,80000,Individual,Diesel,Manual,19.87,1461,83.8,5,935000
10978,Datsun RediGO,Datsun,RediGO,4,30000,Individual,Petrol,Manual,22.7,799,53.64,5,275000
615,Honda Amaze,Honda,Amaze,6,70000,Individual,Diesel,Manual,25.8,1498,98.6,5,350000
